SEMESTER,UT DAY,UT START TIME,UT END TIME,MJD START TIME,MJD END TIME,PROGRAM,OBSERVER
2000B,12-13,02:00:00.000,14:00:00.000,51891.083333333336,51891.583333333336,038,Harrington
2000B,12-14,02:00:00.000,14:00:00.000,51892.083333333336,51892.583333333336,038,Harrington
2000B,12-15,04:00:00.000,16:00:00.000,51893.166666666664,51893.666666666664,006,Connerney
2000B,12-16,04:00:00.000,16:00:00.000,51894.166666666664,51894.666666666664,050,Osip
2000B,12-17,04:00:00.000,16:00:00.000,51895.166666666664,51895.666666666664,006,Connerney
2000B,12-18,04:00:00.000,16:00:00.000,51896.166666666664,51896.666666666664,006,Connerney
2000B,12-19,02:00:00.000,14:00:00.000,51897.083333333336,51897.583333333336,038,Harrington
2000B,12-20,02:00:00.000,14:00:00.000,51898.083333333336,51898.583333333336,038,Harrington
2000B,12-21,02:00:00.000,14:00:00.000,51899.083333333336,51899.583333333336,096,Bjoraker
2000B,12-22,02:00:00.000,14:00:00.000,51900.083333333336,51900.583333333336,096,Bjoraker
2000B,12-23,02:00:00.000,06:00:00.000,51901.083333333336,51901.25,054,Spencer
2000B,12-23,06:00:00.000,16:00:00.000,51901.25,51901.666666666664,028,Goto
2000B,12-26,06:00:00.000,18:00:00.000,51904.25,51904.75,062,Lisse
2000B,12-27,06:00:00.000,18:00:00.000,51905.25,51905.75,062,Lisse
2000B,12-28,03:00:00.000,07:30:00.000,51906.125,51906.3125,009,Orton
2000B,12-28,07:30:00.000,13:00:00.000,51906.3125,51906.541666666664,054,Spencer
2000B,12-28,13:00:00.000,15:00:00.000,51906.541666666664,51906.625,009,Orton
2000B,12-29,03:00:00.000,15:00:00.000,51907.125,51907.625,009,Orton
2000B,12-30,04:00:00.000,16:00:00.000,51908.166666666664,51908.666666666664,035,Ressler
2000B,01-01,04:00:00.000,16:00:00.000,51910.166666666664,51910.666666666664,035,Ressler
2000B,01-02,04:00:00.000,16:00:00.000,51911.166666666664,51911.666666666664,035,Ressler
2000B,01-03,02:00:00.000,14:00:00.000,51912.083333333336,51912.583333333336,038,Harrington
2000B,01-04,02:00:00.000,14:00:00.000,51913.083333333336,51913.583333333336,038,Harrington
2000B,01-05,04:00:00.000,16:00:00.000,51914.166666666664,51914.666666666664,045,Muzerolle
2000B,01-06,04:00:00.000,16:00:00.000,51915.166666666664,51915.666666666664,045,Muzerolle
2000B,01-07,04:00:00.000,16:00:00.000,51916.166666666664,51916.666666666664,006,Connerney
2000B,01-08,00:00:00.000,04:00:00.000,51917.0,51917.166666666664,054,Spencer
2000B,01-08,04:00:00.000,16:00:00.000,51917.166666666664,51917.666666666664,019,Walter
2000B,01-09,04:00:00.000,16:00:00.000,51918.166666666664,51918.666666666664,019,Walter
2000B,01-10,04:00:00.000,16:00:00.000,51919.166666666664,51919.666666666664,006,Connerney
2000B,01-11,04:00:00.000,16:00:00.000,51920.166666666664,51920.666666666664,019,Walter
2000B,01-12,04:00:00.000,16:00:00.000,51921.166666666664,51921.666666666664,006,Connerney
2000B,01-12,16:00:00.000,22:00:00.000,51921.666666666664,51921.916666666664,097,Novak
2000B,01-13,04:00:00.000,14:30:00.000,51922.166666666664,51922.604166666664,019,Walter
2000B,01-13,16:00:00.000,22:00:00.000,51922.666666666664,51922.916666666664,097,Novak
2000B,01-14,07:00:00.000,11:00:00.000,51923.291666666664,51923.458333333336,008,Beck
2000B,01-14,14:30:00.000,22:00:00.000,51923.604166666664,51923.916666666664,097,Novak
2000B,01-15,00:00:00.000,06:00:00.000,51924.0,51924.25,054,Spencer
2000B,01-15,06:00:00.000,16:00:00.000,51924.25,51924.666666666664,106,Trilling
2000B,01-16,04:00:00.000,16:00:00.000,51925.166666666664,51925.666666666664,106,Trilling
2000B,01-17,04:00:00.000,16:00:00.000,51926.166666666664,51926.666666666664,106,Trilling
2000B,01-18,04:00:00.000,16:00:00.000,51927.166666666664,51927.666666666664,017,Reid
2000B,01-19,04:00:00.000,16:00:00.000,51928.166666666664,51928.666666666664,017,Reid
2000B,01-20,04:00:00.000,16:00:00.000,51929.166666666664,51929.666666666664,074,Grundy
2000B,01-21,04:00:00.000,16:00:00.000,51930.166666666664,51930.666666666664,999,Engineering
2000B,01-22,01:30:00.000,07:30:00.000,51931.0625,51931.3125,054,Spencer
2000B,01-22,07:30:00.000,16:00:00.000,51931.3125,51931.666666666664,027,Rayner
2000B,01-23,04:00:00.000,16:00:00.000,51932.166666666664,51932.666666666664,027,Rayner
2000B,01-24,04:00:00.000,16:00:00.000,51933.166666666664,51933.666666666664,027,Rayner
2000B,01-25,04:00:00.000,16:00:00.000,51934.166666666664,51934.666666666664,091,Gordon
2000B,01-26,04:00:00.000,16:00:00.000,51935.166666666664,51935.666666666664,091,Gordon
2000B,01-27,04:00:00.000,16:00:00.000,51936.166666666664,51936.666666666664,074,Grundy
2000B,01-28,04:00:00.000,16:00:00.000,51937.166666666664,51937.666666666664,005,Binzel
2000B,01-29,04:00:00.000,16:00:00.000,51938.166666666664,51938.666666666664,005,Binzel
2000B,01-30,04:00:00.000,16:00:00.000,51939.166666666664,51939.666666666664,025,Lynch
2000B,01-31,04:00:00.000,16:00:00.000,51940.166666666664,51940.666666666664,025,Lynch
2001A,02-01,04:00:00.000,09:59:00.000,51941.166666666664,51941.415972222225,085,Greathouse
2001A,02-01,09:59:00.000,16:00:00.000,51941.415972222225,51941.666666666664,074,Lacy
2001A,02-02,04:00:00.000,09:59:00.000,51942.166666666664,51942.415972222225,085,Greathouse
2001A,02-02,09:59:00.000,16:00:00.000,51942.415972222225,51942.666666666664,074,Lacy
2001A,02-03,04:00:00.000,09:59:00.000,51943.166666666664,51943.415972222225,085,Greathouse
2001A,02-03,09:59:00.000,16:00:00.000,51943.415972222225,51943.666666666664,050,Richter
2001A,02-04,04:00:00.000,09:59:00.000,51944.166666666664,51944.415972222225,085,Greathouse
2001A,02-04,09:59:00.000,16:00:00.000,51944.415972222225,51944.666666666664,050,Richter
2001A,02-05,04:00:00.000,09:59:00.000,51945.166666666664,51945.415972222225,060,Miller
2001A,02-05,09:59:00.000,18:00:00.000,51945.415972222225,51945.75,071,Mumma
2001A,02-05,09:59:00.000,18:00:00.000,51945.415972222225,51945.75,071,Mumma
2001A,02-07,04:00:00.000,09:59:00.000,51947.166666666664,51947.415972222225,060,Miller
2001A,02-07,09:59:00.000,18:00:00.000,51947.415972222225,51947.75,071,Mumma
2001A,02-08,04:00:00.000,09:59:00.000,51948.166666666664,51948.415972222225,066,Tokunaga
2001A,02-08,09:59:00.000,16:00:00.000,51948.415972222225,51948.666666666664,999,Engineering
2001A,02-09,04:00:00.000,09:59:00.000,51949.166666666664,51949.415972222225,066,Tokunaga
2001A,02-09,09:59:00.000,16:00:00.000,51949.415972222225,51949.666666666664,999,Engineering
2001A,02-10,04:00:00.000,09:59:00.000,51950.166666666664,51950.415972222225,066,Tokunaga
2001A,02-10,09:59:00.000,16:00:00.000,51950.415972222225,51950.666666666664,999,Engineering
2001A,02-11,04:00:00.000,09:59:00.000,51951.166666666664,51951.415972222225,087,Chanover
