SEMESTER,MJD START,MJD END,PROGRAM,PI
2001A,51971.166666666664,51971.458333333336,2001A069,Tsvetanov
2001A,51971.458333333336,51971.708333333336,2001A071,Mumma
2001A,51972.166666666664,51972.458333333336,2001A069,Tsvetanov
2001A,51972.458333333336,51972.708333333336,2001A071,Mumma
2001A,51973.166666666664,51973.458333333336,2001A069,Tsvetanov
2001A,51973.458333333336,51973.708333333336,2001A071,Mumma
2001A,51974.0,51974.333333333336,2001A007,Orton
2001A,51974.333333333336,51974.666666666664,2001A069,Tsvetanov
2001A,51975.0,51975.333333333336,2001A007,Orton
2001A,51975.333333333336,51975.666666666664,2001A999,Engineering
2001A,51976.0,51976.333333333336,2001A007,Orton
2001A,51976.333333333336,51976.666666666664,2001A999,Engineering
2001A,51977.166666666664,51977.666666666664,2001A999,Engineering
2001A,51978.166666666664,51978.415972222225,2001A999,Engineering
2001A,51978.415972222225,51978.666666666664,2001A034,Kelley
2001A,51979.166666666664,51979.415972222225,2001A999,Engineering
2001A,51979.415972222225,51979.666666666664,2001A034,Kelley
2001A,51980.166666666664,51980.415972222225,2001A999,Engineering
2001A,51980.415972222225,51980.666666666664,2001A034,Kelley
2001A,51981.166666666664,51981.666666666664,2001A062,Cushing
2001A,51982.166666666664,51982.666666666664,2001A062,Cushing
2001A,51983.166666666664,51983.333333333336,2001A060,Miller
2001A,51983.333333333336,51983.666666666664,2001A058,Clark
2001A,51984.166666666664,51984.333333333336,2001A060,Miller
2001A,51984.333333333336,51984.666666666664,2001A058,Clark
2001A,51985.166666666664,51985.333333333336,2001A060,Miller
2001A,51985.333333333336,51985.666666666664,2001A058,Clark
2001A,51986.166666666664,51986.333333333336,2001A060,Miller
2001A,51986.333333333336,51986.541666666664,2001A058,Clark
2001A,51986.541666666664,51986.833333333336,2001A038,Novak
2001A,51987.166666666664,51987.354166666664,2001A060,Miller
2001A,51987.458333333336,51987.833333333336,2001A038,Novak
2001A,51988.166666666664,51988.354166666664,2001A060,Miller
2001A,51988.458333333336,51988.833333333336,2001A038,Novak
2001A,51989.166666666664,51989.415972222225,2001A999,Engineering
2001A,51989.458333333336,51989.833333333336,2001A038,Novak
2001A,51990.166666666664,51990.415972222225,2001A999,Engineering
2001A,51991.166666666664,51991.415972222225,2001A999,Engineering
2001A,51991.415972222225,51991.666666666664,2001A034,Kelley
2001A,51992.166666666664,51992.415972222225,2001A999,Engineering
2001A,51992.415972222225,51992.666666666664,2001A034,Kelley
2001A,51993.166666666664,51993.415972222225,2001A999,Engineering
2001A,51993.415972222225,51993.666666666664,2001A034,Kelley
2001A,51994.166666666664,51994.666666666664,2001A027,Bauer
2001A,51995.166666666664,51995.666666666664,2001A027,Bauer
2001A,51996.166666666664,51996.666666666664,2001A004,Binzel
2001A,51997.166666666664,51997.666666666664,2001A004,Binzel
2001A,51998.166666666664,51998.666666666664,2001A081,Turnshek
2001A,51999.166666666664,51999.666666666664,2001A081,Turnshek
2001A,52000.166666666664,52000.666666666664,2001A081,Turnshek
2001A,52001.166666666664,52001.666666666664,2001A081,Turnshek
2001A,52002.166666666664,52002.666666666664,2001A070,Joseph
2001A,52003.166666666664,52003.666666666664,2001A070,Joseph
2001A,52004.208333333336,52004.5,2001A070,Joseph
2001A,52004.5,52004.708333333336,2001A084,Klassen
2001A,52005.208333333336,52005.5,2001A070,Joseph
2001A,52005.5,52005.708333333336,2001A084,Klassen
2001A,52006.208333333336,52006.5,2001A070,Joseph
2001A,52006.5,52006.708333333336,2001A084,Klassen
2001A,52007.166666666664,52007.666666666664,2001A031,Imanishi
2001A,52008.166666666664,52008.666666666664,2001A031,Imanishi
2001A,52009.166666666664,52009.666666666664,2001A026,Stockton
2001A,52010.166666666664,52010.666666666664,2001A026,Stockton
2001A,52011.166666666664,52011.666666666664,2001A026,Stockton
2001A,52012.166666666664,52012.666666666664,2001A026,Stockton
2001A,52013.166666666664,52013.666666666664,2001A103,Gregg
