SEMESTER,MJD START,MJD END,PI,PROGRAM
2001A,51955.5625,51955.91667,Weaver,2001A100
2001A,51956.14583,51956.25,Crisp,2001A077
2001A,51956.25,51956.5625,Emery,2001A109
2001A,51956.5625,51956.91667,Weaver,2001A100
2001A,51957.14583,51957.25,Crisp,2001A077
2001A,51957.25,51957.64583,Emery,2001A109
2001A,51957.5625,51957.91667,Weaver,2001A100
2001A,51958.14583,51958.25,Crisp,2001A077
2001A,51958.25,51958.64583,Binzel,2001A004
2001A,51959.14583,51959.25,Crisp,2001A077
2001A,51959.25,51959.64583,Binzel,2001A004
2001A,51960.16667,51960.375,Miller,2001A060
2001A,51960.375,51960.66667,Stockton,2001A026
2001A,51961.16667,51961.375,Miller,2001A060
2001A,51961.375,51961.66667,Stockton,2001A026
2001A,51962.16667,51962.375,Miller,2001A060
2001A,51962.375,51962.66667,Stockton,2001A026
2001A,51963.16667,51963.66667,Engineering,2001A999
2001A,51964.83333,51964.66667,Kostiuk,2001A091
2001A,51965.83333,51965.66667,Kostiuk,2001A091
2001A,51966.83333,51966.66667,Kostiuk,2001A091
2001A,51967.83333,51967.66667,Kostiuk,2001A091
2001A,51968.16667,51968.66667,Engineering,2001A999
2001A,51969.16667,51969.66667,Engineering,2001A999
2001A,51970.16667,51970.45833,Tsvetanov,2001A069
2001A,51971.16667,51971.45833,Tsvetanov,2001A069
2001A,51971.45833,51971.70833,Mumma,2001A071
2001A,51972.16667,51972.45833,Tsvetanov,2001A069
2001A,51972.45833,51972.70833,Mumma,2001A071
2001A,51973,51973.33333,Orton,2001A007
2001A,51973.33333,51973.66667,Tsvetanov,2001A069
2001A,51973.45833,51973.70833,Mumma,2001A071
2001A,51974,51974.33333,Orton,2001A007
2001A,51974.33333,51974.66667,Engineering,2001A999
2001A,51975,51975.33333,Orton,2001A007
2001A,51975.33333,51975.66667,Engineering,2001A999
2001A,51976.16667,51976.66667,Engineering,2001A999
2001A,51977.16667,51977.41597,Engineering,2001A999
2001A,51977.41597,51977.66667,Kelley,2001A034
2001A,51978.16667,51978.41597,Engineering,2001A999
2001A,51978.41597,51978.66667,Kelley,2001A034
2001A,51979.16667,51979.41597,Engineering,2001A999
2001A,51979.41597,51979.66667,Kelley,2001A034
2001A,51980.16667,51980.66667,Cushing,2001A062
2001A,51981.16667,51981.66667,Cushing,2001A062
2001A,51982.16667,51982.33333,Miller,2001A060
2001A,51982.33333,51982.66667,Clark,2001A058
